Species_Treatment,Tree #,Month,Species,Curve,Leaf,Photo,Ci,Tleaf,Season
PILED,8,JULY,PILED,1,1,7.4366,139.3954,25.6736,JULY
PILED,8,JULY,PILED,1,1,5.6556,117.4014,25.6444,JULY
PILED,8,JULY,PILED,1,1,3.2606,98.856,25.6103,JULY
PILED,8,JULY,PILED,1,1,0.6054,81.1699,25.621,JULY
PILED,8,JULY,PILED,1,1,-0.7062,66.9526,25.6468,JULY
PILED,8,JULY,PILED,1,1,9.8631,166.8433,25.4407,JULY
PILED,8,JULY,PILED,1,1,13.8604,201.8204,25.5126,JULY
PILED,8,JULY,PILED,1,1,17.1885,243.5713,25.3905,JULY
PILED,8,JULY,PILED,1,1,20.2709,388.6026,25.4721,JULY
PILED,9,JULY,PILED,3,1,11.5614,227.8647,25.5854,JULY
PILED,9,JULY,PILED,3,1,9.8228,157.6537,25.9598,JULY
PILED,9,JULY,PILED,3,1,5.8638,117.037,25.8523,JULY
PILED,9,JULY,PILED,3,1,1.5252,78.7463,26.0206,JULY
PILED,9,JULY,PILED,3,1,-0.7183,57.9485,25.8374,JULY
PILED,9,JULY,PILED,3,1,13.9444,224.6756,25.9592,JULY
PILED,9,JULY,PILED,3,1,14.1787,231.0271,25.5086,JULY
PILED,9,JULY,PILED,3,1,19.6986,360.8381,25.9814,JULY
PILED,9,JULY,PILED,3,1,19.3353,570.8003,25.5863,JULY
PILEND,10,JULY,PILEND,2,1,17.3124,281.01,25.2382,JULY
PILEND,10,JULY,PILEND,2,1,15.7199,193.7138,25.2203,JULY
PILEND,10,JULY,PILEND,2,1,2.5735,81.2914,25.3138,JULY
PILEND,10,JULY,PILEND,2,1,-0.7212,53.765,25.4754,JULY
PILEND,10,JULY,PILEND,2,1,18.0044,275.643,25.4677,JULY
PILEND,10,JULY,PILEND,2,1,19.1388,268.6567,25.3924,JULY
PILEND,10,JULY,PILEND,2,1,23.9216,433.2789,25.5049,JULY
PILEND,10,JULY,PILEND,2,1,24.7928,627.6684,25.3299,JULY
PILEND,12,JULY,PILEND,4,1,11.9928,170.0543,27.0443,JULY
PILEND,12,JULY,PILEND,4,1,8.2298,141.5389,27.2605,JULY
PILEND,12,JULY,PILEND,4,1,5.1642,103.7361,27.1628,JULY
PILEND,12,JULY,PILEND,4,1,1.3778,74.981,27.2347,JULY
PILEND,12,JULY,PILEND,4,1,-0.7115,60.0469,27.2383,JULY
PILEND,12,JULY,PILEND,4,1,15.2591,186.9731,27.0109,JULY
PILEND,12,JULY,PILEND,4,1,19.4964,249.2895,27.1428,JULY
PILEND,12,JULY,PILEND,4,1,22.9927,329.8523,26.8946,JULY
PILEND,12,JULY,PILEND,4,1,24.8244,518.0184,27.0412,JULY
PILED,21,JULY,PILED,5,1,10.7946,200.1977,26.7694,JULY
PILED,21,JULY,PILED,5,1,8.0579,151.6901,26.5008,JULY
PILED,21,JULY,PILED,5,1,4.7504,116.0466,26.7869,JULY
PILED,21,JULY,PILED,5,1,1.0177,81.3179,26.5266,JULY
PILED,21,JULY,PILED,5,1,-0.9418,62.7948,26.7803,JULY
PILED,21,JULY,PILED,5,1,12.833,217.6526,26.5298,JULY
PILED,21,JULY,PILED,5,1,16.8367,285.8481,26.4446,JULY
PILED,21,JULY,PILED,5,1,20.3484,352.347,26.2702,JULY
PILED,21,JULY,PILED,5,1,22.7332,528.8657,26.43,JULY
PILEND,22,JULY,PILEND,6,1,6.372,161.8223,26.8858,JULY
PILEND,22,JULY,PILEND,6,1,4.6376,131.9007,27.0617,JULY
PILEND,22,JULY,PILEND,6,1,2.3865,114.7103,26.9631,JULY
PILEND,22,JULY,PILEND,6,1,0.1844,90.4503,27.0735,JULY
PILEND,22,JULY,PILEND,6,1,-0.9923,77.9298,26.9859,JULY
PILEND,22,JULY,PILEND,6,1,9.0993,163.9666,26.5997,JULY
PILEND,22,JULY,PILEND,6,1,12.1962,205.339,26.778,JULY
PILEND,22,JULY,PILEND,6,1,15.5788,247.7819,26.8559,JULY
PILEND,22,JULY,PILEND,6,1,19.0533,386.1828,26.7628,JULY
PILEND,23,JULY,PILEND,7,1,10.1705,157.7151,26.9692,JULY
PILEND,23,JULY,PILEND,7,1,7.386,129.2989,26.9378,JULY
PILEND,23,JULY,PILEND,7,1,4.3329,101.9069,26.996,JULY
PILEND,23,JULY,PILEND,7,1,1.1681,73.3177,26.8188,JULY
PILEND,23,JULY,PILEND,7,1,-0.8927,66.5076,26.9073,JULY
PILEND,23,JULY,PILEND,7,1,12.3192,175.6249,26.3623,JULY
PILEND,23,JULY,PILEND,7,1,16.3664,220.0398,26.4986,JULY
PILEND,23,JULY,PILEND,7,1,19.8482,271.6807,26.2558,JULY
PILEND,23,JULY,PILEND,7,1,22.3495,424.2488,26.7021,JULY
PILED,19,JULY,PILED,8,1,9.8197,203.9077,26.7045,JULY
PILED,19,JULY,PILED,8,1,6.9213,158.4293,27.0933,JULY
PILED,19,JULY,PILED,8,1,3.3497,130.4459,27.014,JULY
