ST,D,E,SE,ESE,LSE
PILAD,7,2.189666666,0.148271416,2.337938082,2.04139525
PILAD,14,2.108166668,0.133512796,2.241679464,1.974653872
PILAD,21,3.149999999,0.328083662,3.478083661,2.821916337
PILAD,28,2.644,0.160293085,2.804293085,2.483706915
PILAD,35,3.503999999,0.546016119,4.050016118,2.95798388
PILAD,42,3.520833335,0.178106777,3.698940112,3.342726558
PILAD,49,3.749999999,0.42715374,4.177153739,3.322846259
PILAD,56,4.817,0.392634933,5.209634933,4.424365067
PILAD,63,3.9215,0.235005166,4.156505166,3.686494834
PILAD,70,5.062333334,0.169863904,5.232197238,4.89246943
PILAD,77,5.456666665,0.149623867,5.606290532,5.307042798
PILAD,84,5.402166666,0.598463025,6.000629691,4.803703641
PILAD,91,5.793499996,0.414189194,6.20768919,5.379310802
PILAD,98,5.683333334,0.380901188,6.064234522,5.302432146
PILAD,105,6.267000001,0.225700603,6.492700604,6.041299398
PILAD,112,5.871666666,0.283180981,6.154847647,5.588485685
PILAD,119,6.833333334,0.456348516,7.28968185,6.376984818
PILAD,126,7.200499999,0.389417615,7.589917614,6.811082384
PILAD,133,8.199833333,0.590419101,8.790252434,7.609414232
PILAD,140,7.583333332,0.410960934,7.994294266,7.172372398
PILAD,147,5.930583333,0.366592691,6.297176024,5.563990642
PILAD,154,7.703083334,0.38810774,8.091191074,7.314975594
PILAD,161,6.683500001,0.40538834,7.088888341,6.278111661
PILAD,167,7.000999999,0.093094934,7.094094933,6.907905065
PILAND,7,3.245166667,0.388012876,3.633179543,2.857153791
PILAND,14,3.022,0.119314411,3.141314411,2.902685589
PILAND,21,5.000166666,0.246185729,5.246352395,4.753980937
PILAND,28,5.233000001,0.138100378,5.371100379,5.094899623
PILAND,35,6.099666666,0.806685045,6.906351711,5.292981621
PILAND,42,5.783166666,0.286730807,6.069897473,5.496435859
PILAND,49,6.950000001,0.81984319,7.769843191,6.130156811
PILAND,56,9.883500002,0.42451311,10.30801311,9.458986892
PILAND,63,9.044500001,0.384731065,9.429231066,8.659768936
PILAND,70,11.02233333,0.581345218,11.60367855,10.44098811
PILAND,77,11.36666667,0.365495966,11.73216264,11.0011707
PILAND,84,11.72216667,1.018211691,12.74037836,10.70395498
PILAND,91,14.21133333,0.795512603,15.00684593,13.41582073
PILAND,98,13.68316667,0.596899622,14.28006629,13.08626705
PILAND,105,15.843,0.340373464,16.18337346,15.50262654
PILAND,112,13.89083334,0.6513935,14.54222684,13.23943984
PILAND,119,14.45016667,0.443535882,14.89370255,14.00663079
PILAND,126,15.767,0.837476065,16.60447606,14.92952394
PILAND,133,18.75,2.062457311,20.81245731,16.68754269
PILAND,140,21.2165,1.061487552,22.27798755,20.15501245
PILAND,147,21.45999167,1.028543372,22.48853504,20.4314483
PILAND,154,25.673325,0.35710386,26.03042886,25.31622114
