Replicate,Species_Treatment,CO2,H2O,Glasshouse,Day,Transpiration (ml),Transpiration (l)
7,PILED,E,D,2,1,400,0.4
7,PILED,E,D,2,2,400,0.4
7,PILED,E,D,2,3,400,0.4
7,PILED,E,D,2,4,233,0.233
7,PILED,E,D,2,5,233,0.233
7,PILED,E,D,2,6,233,0.233
7,PILED,E,D,2,7,386,0.386
7,PILED,E,D,2,8,386,0.386
7,PILED,E,D,2,9,386,0.386
7,PILED,E,D,2,10,386,0.386
7,PILED,E,D,2,11,386,0.386
7,PILED,E,D,2,12,386,0.386
7,PILED,E,D,2,13,386,0.386
7,PILED,E,D,2,14,200,0.2
7,PILED,E,D,2,15,200,0.2
7,PILED,E,D,2,16,600,0.6
7,PILED,E,D,2,17,500,0.5
7,PILED,E,D,2,18,333,0.333
7,PILED,E,D,2,19,333,0.333
7,PILED,E,D,2,20,333,0.333
7,PILED,E,D,2,21,400,0.4
7,PILED,E,D,2,22,400,0.4
7,PILED,E,D,2,23,400,0.4
7,PILED,E,D,2,24,400,0.4
7,PILED,E,D,2,25,400,0.4
7,PILED,E,D,2,26,400,0.4
7,PILED,E,D,2,27,400,0.4
7,PILED,E,D,2,28,200,0.2
7,PILED,E,D,2,29,600,0.6
7,PILED,E,D,2,30,600,0.6
7,PILED,E,D,2,31,400,0.4
7,PILED,E,D,2,32,600,0.6
7,PILED,E,D,2,33,500,0.5
7,PILED,E,D,2,34,500,0.5
7,PILED,E,D,2,35,600,0.6
7,PILED,E,D,2,36,600,0.6
7,PILED,E,D,2,37,650,0.65
7,PILED,E,D,2,38,650,0.65
7,PILED,E,D,2,39,700,0.7
7,PILED,E,D,2,40,700,0.7
7,PILED,E,D,2,41,700,0.7
7,PILED,E,D,2,42,400,0.4
7,PILED,E,D,2,43,200,0.2
7,PILED,E,D,2,44,400,0.4
7,PILED,E,D,2,45,400,0.4
7,PILED,E,D,2,46,700,0.7
7,PILED,E,D,2,47,700,0.7
7,PILED,E,D,2,48,400,0.4
7,PILED,E,D,2,49,850,0.85
7,PILED,E,D,2,50,850,0.85
7,PILED,E,D,2,51,750,0.75
7,PILED,E,D,2,52,750,0.75
7,PILED,E,D,2,53,767,0.767
7,PILED,E,D,2,54,767,0.767
7,PILED,E,D,2,55,767,0.767
7,PILED,E,D,2,56,350,0.35
7,PILED,E,D,2,57,350,0.35
7,PILED,E,D,2,58,650,0.65
7,PILED,E,D,2,59,650,0.65
7,PILED,E,D,2,60,500,0.5
7,PILED,E,D,2,61,500,0.5
7,PILED,E,D,2,62,500,0.5
7,PILED,E,D,2,63,667,0.667
7,PILED,E,D,2,64,667,0.667
7,PILED,E,D,2,65,667,0.667
7,PILED,E,D,2,66,500,0.5
7,PILED,E,D,2,67,733,0.733
7,PILED,E,D,2,68,733,0.733
7,PILED,E,D,2,69,733,0.733
7,PILED,E,D,2,70,700,0.7
7,PILED,E,D,2,71,700,0.7
7,PILED,E,D,2,72,740,0.74
7,PILED,E,D,2,73,740,0.74
7,PILED,E,D,2,74,740,0.74
7,PILED,E,D,2,75,740,0.74
7,PILED,E,D,2,76,740,0.74
7,PILED,E,D,2,77,750,0.75
7,PILED,E,D,2,78,750,0.75
7,PILED,E,D,2,79,300,0.3
7,PILED,E,D,2,80,300,0.3
7,PILED,E,D,2,81,800,0.8
7,PILED,E,D,2,82,800,0.8
7,PILED,E,D,2,83,800,0.8
7,PILED,E,D,2,84,933,0.933
7,PILED,E,D,2,85,933,0.933
7,PILED,E,D,2,86,933,0.933
7,PILED,E,D,2,87,400,0.4
7,PILED,E,D,2,88,867,0.867
7,PILED,E,D,2,89,867,0.867
7,PILED,E,D,2,90,867,0.867
7,PILED,E,D,2,91,600,0.6
7,PILED,E,D,2,92,600,0.6
7,PILED,E,D,2,93,1100,1.1
7,PILED,E,D,2,94,1100,1.1
7,PILED,E,D,2,95,533,0.533
7,PILED,E,D,2,96,533,0.533
7,PILED,E,D,2,97,533,0.533
7,PILED,E,D,2,98,750,0.75
7,PILED,E,D,2,99,750,0.75
7,PILED,E,D,2,100,650,0.65
7,PILED,E,D,2,101,650,0.65
7,PILED,E,D,2,102,967,0.967
7,PILED,E,D,2,103,967,0.967
7,PILED,E,D,2,104,967,0.967
7,PILED,E,D,2,105,800,0.8
7,PILED,E,D,2,106,800,0.8
7,PILED,E,D,2,107,750,0.75
7,PILED,E,D,2,108,750,0.75
7,PILED,E,D,2,109,975,0.975
7,PILED,E,D,2,110,975,0.975
7,PILED,E,D,2,111,975,0.975
7,PILED,E,D,2,112,975,0.975
7,PILED,E,D,2,113,400,0.4
7,PILED,E,D,2,114,800,0.8
7,PILED,E,D,2,115,800,0.8
7,PILED,E,D,2,116,1000,1
7,PILED,E,D,2,117,1000,1
7,PILED,E,D,2,118,1000,1
7,PILED,E,D,2,119,900,0.9
7,PILED,E,D,2,120,900,0.9
7,PILED,E,D,2,121,1000,1
7,PILED,E,D,2,122,1000,1
7,PILED,E,D,2,123,933,0.933
7,PILED,E,D,2,124,933,0.933
7,PILED,E,D,2,125,933,0.933
7,PILED,E,D,2,126,850,0.85
7,PILED,E,D,2,127,850,0.85
7,PILED,E,D,2,128,900,0.9
7,PILED,E,D,2,129,900,0.9
7,PILED,E,D,2,130,800,0.8
7,PILED,E,D,2,131,800,0.8
7,PILED,E,D,2,132,800,0.8
7,PILED,E,D,2,133,1400,1.4
7,PILED,E,D,2,134,1400,1.4
7,PILED,E,D,2,135,600,0.6
7,PILED,E,D,2,136,600,0.6
7,PILED,E,D,2,137,1000,1
7,PILED,E,D,2,138,1000,1
7,PILED,E,D,2,139,1000,1
7,PILED,E,D,2,140,950,0.95
7,PILED,E,D,2,141,950,0.95
7,PILED,E,D,2,142,800,0.8
7,PILED,E,D,2,143,800,0.8
7,PILED,E,D,2,144,800,0.8
7,PILED,E,D,2,145,800,0.8
7,PILED,E,D,2,146,200,0.2
7,PILED,E,D,2,147,200,0.2
7,PILED,E,D,2,148,200,0.2
7,PILED,E,D,2,149,200,0.2
7,PILED,E,D,2,150,1233,1.233
7,PILED,E,D,2,151,1233,1.233
7,PILED,E,D,2,152,1300,1.3
7,PILED,E,D,2,153,1300,1.3
7,PILED,E,D,2,154,1400,1.4
7,PILED,E,D,2,155,1400,1.4
7,PILED,E,D,2,156,1000,1
7,PILED,E,D,2,157,1000,1
7,PILED,E,D,2,158,1000,1
7,PILED,E,D,2,159,1050,1.05
7,PILED,E,D,2,160,1050,1.05
7,PILED,E,D,2,161,1200,1.2
7,PILED,E,D,2,162,1200,1.2
7,PILED,E,D,2,163,1200,1.2
7,PILED,E,D,2,164,1200,1.2
7,PILED,E,D,2,165,1200,1.2
7,PILED,E,D,2,166,1200,1.2
7,PILED,E,D,2,167,1200,1.2
8,PILED,E,D,2,1,400,0.4
8,PILED,E,D,2,2,300,0.3
8,PILED,E,D,2,3,300,0.3
8,PILED,E,D,2,4,100,0.1
8,PILED,E,D,2,5,200,0.2
8,PILED,E,D,2,6,50,0.05
8,PILED,E,D,2,7,386,0.386
8,PILED,E,D,2,8,386,0.386
8,PILED,E,D,2,9,386,0.386
8,PILED,E,D,2,10,386,0.386
