ST,D,E,SE,ESE,LSE
POPAD,7,2.749999999,0.368824818,3.118824817,2.381175181
POPAD,14,1.892166667,0.078006206,1.970172873,1.814160461
POPAD,21,1.938833334,0.051775385,1.990608719,1.887057949
POPAD,28,1.428,0.038916577,1.466916577,1.389083423
POPAD,35,2.051666667,0.287417221,2.339083888,1.764249446
POPAD,42,1.850166667,0.312741767,2.162908434,1.5374249
POPAD,49,2.124999999,0.194314015,2.319314014,1.930685984
POPAD,56,2.300500001,0.244157216,2.544657217,2.056342785
POPAD,63,2.335333332,0.062852435,2.398185767,2.272480897
POPAD,70,2.330666667,0.059798139,2.390464806,2.270868528
POPAD,77,2.637499998,0.129809843,2.767309841,2.507690155
POPAD,84,2.176,0.241362501,2.417362501,1.934637499
POPAD,91,2.485166666,0.176445684,2.66161235,2.308720982
POPAD,98,2.933166667,0.294062391,3.227229058,2.639104276
POPAD,105,2.516833334,0.143361958,2.660195292,2.373471376
POPAD,112,2.484666665,0.323467989,2.808134654,2.161198676
POPAD,119,2.982666667,0.310003123,3.29266979,2.672663544
POPAD,126,3.833333332,0.452688617,4.286021949,3.380644715
POPAD,133,3.521833334,0.228492367,3.750325701,3.293340967
POPAD,140,3.3885,0.101766306,3.490266306,3.286733694
POPAD,147,3.488833334,0.096759685,3.585593019,3.392073649
POPAD,154,3.733,0.218403515,3.951403515,3.514596485
POPAD,161,3.982666667,0.271863703,4.25453037,3.710802964
POPAD,168,3.916333333,0.454985923,4.371319256,3.46134741
POPAD,175,3.294666669,0.223946422,3.518613091,3.070720247
POPAD,182,3.105283331,0.054336537,3.159619868,3.050946794
POPAD,189,4.164833335,0.170700588,4.335533923,3.994132747
POPAD,196,2.652333333,0.292413032,2.944746365,2.359920301
POPAD,203,2.333,0.122548112,2.455548112,2.210451888
POPAD,210,3.769333334,0.355945176,4.12527851,3.413388158
POPAD,217,4.383333332,0.370358041,4.753691373,4.012975291
POPAD,224,4.044666668,0.166789859,4.211456527,3.877876809
POPAD,232,4.805000001,0.057110482,4.862110483,4.747889519
POPAND,7,3.966666666,0.360555127,4.327221793,3.606111539
POPAND,14,3.0825,0.19741685,3.27991685,2.88508315
POPAND,21,2.425333334,0.312029506,2.73736284,2.113303828
POPAND,28,2.059999998,0.051362391,2.111362389,2.008637607
POPAND,35,2.585333334,0.465544544,3.050877878,2.11978879
POPAND,42,3.720333333,0.295982303,4.016315636,3.42435103
POPAND,49,3.583333334,0.480575053,4.063908387,3.102758281
POPAND,56,4.567333334,0.370702294,4.938035628,4.19663104
POPAND,63,4.069666666,0.225469105,4.295135771,3.844197561
POPAND,70,4.714,0.159603477,4.873603477,4.554396523
POPAND,77,4.733333334,0.07339824,4.806731574,4.659935094
POPAND,84,4.953,0.159253616,5.112253616,4.793746384
POPAND,91,5.096833333,0.275490241,5.372323574,4.821343092
POPAND,98,5.083333335,0.333847223,5.417180558,4.749486112
POPAND,105,5.600333335,0.391644235,5.99197757,5.2086891
POPAND,112,5.350000001,0.286131838,5.636131839,5.063868163
POPAND,119,5.649666665,0.551562974,6.201229639,5.098103691
POPAND,126,7.666666666,0.801288645,8.467955311,6.865378021
POPAND,133,7.133333331,0.416619045,7.549952376,6.716714286
POPAND,140,6.566499999,0.540860675,7.107360674,6.025639324
POPAND,147,5.819,0.310809849,6.129809849,5.508190151
POPAND,154,7.349833334,0.615387567,7.965220901,6.734445767
POPAND,161,8.283499998,0.454094547,8.737594545,7.829405451
POPAND,168,9.230166667,0.702245006,9.932411673,8.527921661
POPAND,175,7.102666667,0.296710577,7.399377244,6.80595609
POPAND,182,6.379666669,0.419251033,6.798917702,5.960415636
POPAND,189,8.564666665,0.372454055,8.93712072,8.19221261
POPAND,196,6.258833334,0.386875713,6.645709047,5.871957621
POPAND,203,6.178499999,0.085470082,6.263970081,6.093029917
POPAND,210,9.082833334,0.785728491,9.868561825,8.297104843
POPAND,217,9.563333334,0.615420878,10.17875421,8.947912456
POPAND,224,8.9085,0.452117452,9.360617452,8.456382548
POPAND,232,11.29166667,0.399692962,11.69135963,10.8919737
POPED,7,2.233333334,0.178619041,2.411952375,2.054714293
POPED,14,2.433666666,0.112013888,2.545680554,2.321652778
POPED,21,1.737499999,0.117016075,1.854516074,1.620483924
POPED,28,2.167666667,0.083634124,2.251300791,2.084032543
POPED,35,2.097666666,0.301443472,2.399110138,1.796223194
POPED,42,2.025333334,0.0958726,2.121205934,1.929460734
POPED,49,2.475,0.344370832,2.819370832,2.130629168
POPED,56,3.278666667,0.299278644,3.577945311,2.979388023
POPED,63,2.731666667,0.136793408,2.868460075,2.594873259
POPED,70,3.006166667,0.190632677,3.196799344,2.81553399
POPED,77,3.095833331,0.104394513,3.200227844,2.991438818
POPED,84,2.570333335,0.208723957,2.779057292,2.361609378
POPED,91,3.150666669,0.240921594,3.391588263,2.909745075
POPED,98,3.183500002,0.159260045,3.342760047,3.024239957
POPED,105,3.083499999,0.112955743,3.196455742,2.970544256
POPED,112,2.533333333,0.191709105,2.725042438,2.341624228
POPED,119,2.992000002,0.17220641,3.164206412,2.819793592
POPED,126,3.333666667,0.091223431,3.424890098,3.242443236
POPED,133,3.583500001,0.218581901,3.802081902,3.3649181
POPED,140,3.350333333,0.189668382,3.540001715,3.160664951
POPED,147,2.936166667,0.144360027,3.080526694,2.79180664
POPED,154,3.108333333,0.22250914,3.330842473,2.885824193
POPED,161,3.750499998,0.120010119,3.870510117,3.630489879
POPED,168,3.457999999,0.330105034,3.788105033,3.127894965
POPED,175,3.549,0.255253578,3.804253578,3.293746422
POPED,182,2.9925,0.037383895,3.029883895,2.955116105
POPED,189,3.8505,0.146339001,3.996839001,3.704160999
POPED,196,1.829833333,0.327519368,2.157352701,1.502313965
POPED,203,2.005833333,0.147202942,2.153036275,1.858630391
POPED,210,4.122,0.361145356,4.483145356,3.760854644
POPED,217,4.666666669,0.232379001,4.89904567,4.434287668
POPED,224,3.873333333,0.11916958,3.992502913,3.754163753
POPED,232,4.973333331,0.082612117,5.055945448,4.890721214
POPEND,7,3.733333334,0.586420403,4.319753737,3.146912931
POPEND,14,3.133166667,0.277479214,3.410645881,2.855687453
POPEND,21,2.356000002,0.321949345,2.677949347,2.034050657
POPEND,28,2.795000002,0.16598372,2.960983722,2.629016282
POPEND,35,2.799999999,0.64978629,3.449786289,2.150213709
POPEND,42,3.983333334,0.30337781,4.286711144,3.679955524
POPEND,49,3.466666667,0.637143925,4.103810592,2.829522742
POPEND,56,5.316833332,0.491581784,5.808415116,4.825251548
POPEND,63,4.037,0.318853303,4.355853303,3.718146697
POPEND,70,4.680166666,0.132469044,4.81263571,4.547697622
POPEND,77,4.533333332,0.065271108,4.59860444,4.468062224
POPEND,84,3.987,0.190524256,4.177524256,3.796475744
POPEND,91,4.3465,0.364081329,4.710581329,3.982418671
POPEND,98,4.500333335,0.280653094,4.780986429,4.219680241
POPEND,105,5.099833332,0.269159981,5.368993313,4.830673351
POPEND,112,4.716666666,0.116182669,4.832849335,4.600483997
POPEND,119,5.166666667,0.228709283,5.39537595,4.937957384
POPEND,126,6.749833332,0.698792802,7.448626134,6.05104053
POPEND,133,6.816666666,0.198742076,7.015408742,6.61792459
POPEND,140,5.049666666,0.282942251,5.332608917,4.766724415
POPEND,147,4.966666667,0.160029759,5.126696426,4.806636908
POPEND,154,5.533333333,0.499053072,6.032386405,5.034280261
POPEND,161,7.166666666,0.473085112,7.639751778,6.693581554
POPEND,168,8.033166668,0.583652525,8.616819193,7.449514143
POPEND,175,7.129000002,0.456602359,7.585602361,6.672397643
POPEND,182,5.7155,0.063245553,5.778745553,5.652254447
POPEND,189,8.324500002,0.406142744,8.730642746,7.918357258
POPEND,196,6.155166667,0.476269324,6.631435991,5.678897343
POPEND,203,5.434000001,0.100592609,5.53459261,5.333407392
POPEND,210,8.645,0.558548515,9.203548515,8.086451485
POPEND,217,9.300000002,0.458351082,9.758351084,8.84164892
POPEND,224,8.941500002,0.166763876,9.108263878,8.774736126
POPEND,232,10.14916667,0.18920239,10.33836906,9.959964276
