Replicate,Species_Treatment,CO2,H2O,Glasshouse,Day,Transpiration (ml),Transpiration (l)
1,POPED,E,D,2,1,200,0.2
1,POPED,E,D,2,2,200,0.2
1,POPED,E,D,2,3,200,0.2
1,POPED,E,D,2,4,400,0.4
1,POPED,E,D,2,5,300,0.3
1,POPED,E,D,2,6,300,0.3
1,POPED,E,D,2,7,300,0.3
1,POPED,E,D,2,8,300,0.3
1,POPED,E,D,2,9,150,0.15
1,POPED,E,D,2,10,150,0.15
1,POPED,E,D,2,11,367,0.367
1,POPED,E,D,2,12,367,0.367
1,POPED,E,D,2,13,367,0.367
1,POPED,E,D,2,14,300,0.3
1,POPED,E,D,2,15,300,0.3
1,POPED,E,D,2,16,200,0.2
1,POPED,E,D,2,17,200,0.2
1,POPED,E,D,2,18,183,0.183
1,POPED,E,D,2,19,183,0.183
1,POPED,E,D,2,20,183,0.183
1,POPED,E,D,2,21,297,0.297
1,POPED,E,D,2,22,297,0.297
1,POPED,E,D,2,23,297,0.297
1,POPED,E,D,2,24,297,0.297
1,POPED,E,D,2,25,297,0.297
1,POPED,E,D,2,26,297,0.297
1,POPED,E,D,2,27,297,0.297
1,POPED,E,D,2,28,175,0.175
1,POPED,E,D,2,29,300,0.3
1,POPED,E,D,2,30,600,0.6
1,POPED,E,D,2,31,200,0.2
1,POPED,E,D,2,32,167,0.167
1,POPED,E,D,2,33,167,0.167
1,POPED,E,D,2,34,167,0.167
1,POPED,E,D,2,35,250,0.25
1,POPED,E,D,2,36,250,0.25
1,POPED,E,D,2,37,300,0.3
1,POPED,E,D,2,38,300,0.3
1,POPED,E,D,2,39,300,0.3
1,POPED,E,D,2,40,300,0.3
1,POPED,E,D,2,41,300,0.3
1,POPED,E,D,2,42,350,0.35
1,POPED,E,D,2,43,350,0.35
1,POPED,E,D,2,44,350,0.35
1,POPED,E,D,2,45,350,0.35
1,POPED,E,D,2,46,250,0.25
1,POPED,E,D,2,47,250,0.25
1,POPED,E,D,2,48,300,0.3
1,POPED,E,D,2,49,700,0.7
1,POPED,E,D,2,50,700,0.7
1,POPED,E,D,2,51,525,0.525
1,POPED,E,D,2,52,525,0.525
1,POPED,E,D,2,53,533,0.533
1,POPED,E,D,2,54,533,0.533
1,POPED,E,D,2,55,533,0.533
1,POPED,E,D,2,56,175,0.175
1,POPED,E,D,2,57,175,0.175
1,POPED,E,D,2,58,400,0.4
1,POPED,E,D,2,59,400,0.4
1,POPED,E,D,2,60,400,0.4
1,POPED,E,D,2,61,400,0.4
1,POPED,E,D,2,62,400,0.4
1,POPED,E,D,2,63,567,0.567
1,POPED,E,D,2,64,567,0.567
1,POPED,E,D,2,65,567,0.567
1,POPED,E,D,2,66,350,0.35
1,POPED,E,D,2,67,500,0.5
1,POPED,E,D,2,68,500,0.5
1,POPED,E,D,2,69,500,0.5
1,POPED,E,D,2,70,450,0.45
1,POPED,E,D,2,71,450,0.45
1,POPED,E,D,2,72,590,0.59
1,POPED,E,D,2,73,590,0.59
1,POPED,E,D,2,74,590,0.59
1,POPED,E,D,2,75,590,0.59
1,POPED,E,D,2,76,590,0.59
1,POPED,E,D,2,77,475,0.475
1,POPED,E,D,2,78,475,0.475
1,POPED,E,D,2,79,300,0.3
1,POPED,E,D,2,80,300,0.3
1,POPED,E,D,2,81,300,0.3
1,POPED,E,D,2,82,300,0.3
1,POPED,E,D,2,83,300,0.3
1,POPED,E,D,2,84,567,0.567
1,POPED,E,D,2,85,567,0.567
1,POPED,E,D,2,86,567,0.567
1,POPED,E,D,2,87,350,0.35
1,POPED,E,D,2,88,600,0.6
1,POPED,E,D,2,89,600,0.6
1,POPED,E,D,2,90,600,0.6
1,POPED,E,D,2,91,500,0.5
1,POPED,E,D,2,92,500,0.5
1,POPED,E,D,2,93,550,0.55
1,POPED,E,D,2,94,550,0.55
1,POPED,E,D,2,95,700,0.7
1,POPED,E,D,2,96,700,0.7
1,POPED,E,D,2,97,700,0.7
1,POPED,E,D,2,98,500,0.5
1,POPED,E,D,2,99,500,0.5
1,POPED,E,D,2,100,650,0.65
1,POPED,E,D,2,101,650,0.65
1,POPED,E,D,2,102,600,0.6
1,POPED,E,D,2,103,600,0.6
1,POPED,E,D,2,104,600,0.6
1,POPED,E,D,2,105,700,0.7
1,POPED,E,D,2,106,700,0.7
1,POPED,E,D,2,107,550,0.55
1,POPED,E,D,2,108,550,0.55
1,POPED,E,D,2,109,400,0.4
1,POPED,E,D,2,110,400,0.4
1,POPED,E,D,2,111,400,0.4
1,POPED,E,D,2,112,400,0.4
1,POPED,E,D,2,113,350,0.35
1,POPED,E,D,2,114,650,0.65
1,POPED,E,D,2,115,650,0.65
1,POPED,E,D,2,116,633,0.633
1,POPED,E,D,2,117,633,0.633
1,POPED,E,D,2,118,633,0.633
1,POPED,E,D,2,119,350,0.35
1,POPED,E,D,2,120,350,0.35
1,POPED,E,D,2,121,700,0.7
1,POPED,E,D,2,122,700,0.7
1,POPED,E,D,2,123,367,0.367
1,POPED,E,D,2,124,367,0.367
1,POPED,E,D,2,125,367,0.367
1,POPED,E,D,2,126,600,0.6
1,POPED,E,D,2,127,600,0.6
1,POPED,E,D,2,128,800,0.8
1,POPED,E,D,2,129,800,0.8
1,POPED,E,D,2,130,433,0.433
1,POPED,E,D,2,131,433,0.433
1,POPED,E,D,2,132,433,0.433
1,POPED,E,D,2,133,800,0.8
1,POPED,E,D,2,134,800,0.8
1,POPED,E,D,2,135,400,0.4
1,POPED,E,D,2,136,400,0.4
1,POPED,E,D,2,137,600,0.6
1,POPED,E,D,2,138,600,0.6
1,POPED,E,D,2,139,600,0.6
1,POPED,E,D,2,140,800,0.8
1,POPED,E,D,2,141,800,0.8
1,POPED,E,D,2,142,200,0.2
1,POPED,E,D,2,143,600,0.6
1,POPED,E,D,2,144,600,0.6
1,POPED,E,D,2,145,600,0.6
1,POPED,E,D,2,146,400,0.4
1,POPED,E,D,2,147,550,0.55
1,POPED,E,D,2,148,550,0.55
1,POPED,E,D,2,149,500,0.5
1,POPED,E,D,2,150,400,0.4
1,POPED,E,D,2,151,533,0.533
1,POPED,E,D,2,152,533,0.533
1,POPED,E,D,2,153,533,0.533
1,POPED,E,D,2,154,500,0.5
1,POPED,E,D,2,155,500,0.5
1,POPED,E,D,2,156,600,0.6
1,POPED,E,D,2,157,600,0.6
1,POPED,E,D,2,158,800,0.8
1,POPED,E,D,2,159,800,0.8
1,POPED,E,D,2,160,800,0.8
1,POPED,E,D,2,161,550,0.55
1,POPED,E,D,2,162,550,0.55
1,POPED,E,D,2,163,850,0.85
1,POPED,E,D,2,164,850,0.85
1,POPED,E,D,2,165,500,0.5
1,POPED,E,D,2,166,500,0.5
1,POPED,E,D,2,167,500,0.5
1,POPED,E,D,2,168,350,0.35
1,POPED,E,D,2,169,350,0.35
1,POPED,E,D,2,170,529,0.529
1,POPED,E,D,2,171,529,0.529
1,POPED,E,D,2,172,529,0.529
1,POPED,E,D,2,173,529,0.529
