id,series,WorldClim: Temperature - warmest month max,Precipitation - annual (Bio12)
"5d9d1db1-2e3c-49fe-8ca8-c5fbbc5aecbc","Eucalyptus pilularis",279.0,1397.0
"965202a8-f4a4-4bcb-9ef4-c292975a9fdc","Eucalyptus pilularis",284.0,1354.0
"d0a04b7d-ef9b-4662-8e70-5ed92830b409","Eucalyptus pilularis",276.0,1259.0
"bc0cb5f8-5017-45a7-a132-5ecd0ac83fa6","Eucalyptus pilularis",276.0,1263.0
"ed036adb-5b23-4230-a561-916b68f33052","Eucalyptus pilularis",268.0,1353.0
"a8081435-2b32-4433-9f0b-222d50a34a44","Eucalyptus pilularis",270.0,1305.0
"a0f665ca-3005-48d0-b3f3-ce8dd9117d2d","Eucalyptus pilularis",269.0,1396.0
"7f412b4e-1105-495e-a6a7-008eefd42750","Eucalyptus pilularis",266.0,1362.0
"c9aefaef-41e8-416d-baa1-32cd4671ccc2","Eucalyptus pilularis",264.0,1393.0
"e699dfdf-fcdd-45dc-a754-432ae33514be","Eucalyptus pilularis",274.0,1353.0
"0a00ecac-c565-4f08-a61a-9d9cf7d85f14","Eucalyptus pilularis",263.0,1080.0
"862fe5f2-956d-4659-b19b-9e399785d69a","Eucalyptus pilularis",264.0,1107.0
"921ee362-ad7d-492c-ae9f-c917e770f8f0","Eucalyptus pilularis",264.0,1382.0
"96b8819d-ab66-4fae-860f-2db4a2f27aae","Eucalyptus pilularis",270.0,980.0
"8977fd85-1135-4fae-95fd-d0f8e6902dda","Eucalyptus pilularis",273.0,974.0
"2664ee23-d701-4e57-94cf-7c0484e719b4","Eucalyptus pilularis",256.0,1093.0
"8b1ced37-de36-40b4-b134-979728010153","Eucalyptus pilularis",273.0,1583.0
"2403e427-f425-4168-95c7-d84ea0d3b30f","Eucalyptus pilularis",261.0,1323.0
"17ee1a20-1e27-4cbb-ac64-fead4c64aac8","Eucalyptus pilularis",261.0,1323.0
"f7bba804-3355-4d34-9729-6c263b0083f4","Eucalyptus pilularis",261.0,1323.0
"ea8f9196-e167-4399-a787-147d0632c701","Eucalyptus pilularis",261.0,1323.0
"614ed354-a46d-4048-b3e0-d1406e11cef3","Eucalyptus pilularis",264.0,1316.0
"cbbc5316-90a5-4c09-ad83-e0cc8b10cc71","Eucalyptus pilularis",268.0,1088.0
"a8710a93-0deb-4996-b22f-fe8407dd6dd2","Eucalyptus pilularis",266.0,1232.0
"486c85a6-de6a-4f7b-8373-1965e4d42c67","Eucalyptus pilularis",267.0,1172.0
"d2216f50-eaa2-4d55-94f7-783ae8e92769","Eucalyptus pilularis",276.0,1597.0
"a376eb7a-9f12-4780-897c-c8fb8ac845b7","Eucalyptus pilularis",274.0,1536.0
"4bfa1095-8673-48f1-96c9-e8090579ec7e","Eucalyptus pilularis",282.0,1411.0
"d8d1ab63-f2bc-4ea0-9ba5-27ccdbbdeb32","Eucalyptus pilularis",270.0,1227.0
"4e6b18a8-5247-4bff-bf6b-2d9d1dca753d","Eucalyptus pilularis",245.0,977.0
"8e517353-0813-42bc-afa0-7efe0b36de1c","Eucalyptus pilularis",265.0,1108.0
"90873d38-9281-4cce-8be1-72466fa05163","Eucalyptus pilularis",262.0,1221.0
"21a0bed5-199e-4c31-9c08-e39724ddb76d","Eucalyptus pilularis",273.0,1282.0
"f480671c-4b5b-4be8-ad7e-fecd9e669449","Eucalyptus pilularis",272.0,1320.0
"9454819e-a907-4832-aa5c-4050e88b848c","Eucalyptus pilularis",273.0,1272.0
"7c65f16f-3ba0-4c65-9e1f-0f82486c515c","Eucalyptus pilularis",274.0,1285.0
"6b07a3f0-4f54-4367-bf0a-27c028671bb2","Eucalyptus pilularis",273.0,1308.0
"533119d0-4413-446f-b283-051779dc9a15","Eucalyptus pilularis",274.0,1284.0
"63202e8f-edd4-4f5f-b03c-533a91c0c655","Eucalyptus pilularis",274.0,1274.0
"9bf3f2c1-72cc-472d-a0d7-85aac75a4b30","Eucalyptus pilularis",274.0,1278.0
"29697859-46c8-4a19-aa10-417b830c1f9f","Eucalyptus pilularis",275.0,1227.0
"ceb352a2-7268-478a-bb10-a26b43082379","Eucalyptus pilularis",275.0,1227.0
"30ee083b-f3a7-4795-a00a-06382423558f","Eucalyptus pilularis",274.0,1337.0
"62439ab5-d4e4-416d-9129-7eb13a5edd38","Eucalyptus pilularis",273.0,1313.0
"4c919011-b286-4902-b37f-48e85190dcad","Eucalyptus pilularis",273.0,1325.0
"3601c80a-2d87-473f-bb51-8b7540abd249","Eucalyptus pilularis",273.0,1313.0
"ea5fdd1e-f8ce-4d88-9c91-9610e846471f","Eucalyptus pilularis",273.0,1313.0
"573ac814-b450-428d-9ebc-67f4aa9b60a2","Eucalyptus pilularis",276.0,1265.0
"8f1dae96-dc04-49a7-9e95-3647005f0cbc","Eucalyptus pilularis",275.0,1288.0
"1297f04d-bce2-4dd5-9deb-134cb077ca6c","Eucalyptus pilularis",276.0,1265.0
"75253bb6-0252-45e9-9317-8e380eb32397","Eucalyptus pilularis",273.0,1313.0
