id,series,WorldClim: Temperature - warmest month max,Precipitation - annual (Bio12)
"4406134b-73a4-4b02-b7c6-84ed95a67ceb","Eucalyptus populnea",319.0,451.0
"edefa9a9-22f2-46d4-aaf3-600a863ea9bd","Eucalyptus populnea",321.0,447.0
"1e7b9499-6add-4d6b-8beb-0c0b56fb806d","Eucalyptus populnea",323.0,514.0
"76db44dd-5b33-45e2-8602-7af98bc43178","Eucalyptus populnea",318.0,615.0
"76345fc8-d319-49c8-a49e-98d6f0f5e64a","Eucalyptus populnea",324.0,402.0
"c4abd4a3-3cb6-4532-aca5-dd2e5d1421c5","Eucalyptus populnea",323.0,408.0
"627fbdc5-c331-4d70-98a3-ee33256ba81f","Eucalyptus populnea",322.0,432.0
"d7f7ba71-367b-4e20-9dfc-6d0f00ff6732","Eucalyptus populnea",321.0,435.0
"eaf5d71e-7c99-4a82-a758-2b22c1cea769","Eucalyptus populnea",325.0,647.0
"7c658d84-7369-4cdc-856f-1dd0d96d11b5","Eucalyptus populnea",340.0,617.0
"e021f2d4-87e5-4189-bc0f-e8daff1c134b","Eucalyptus populnea",333.0,664.0
"e6bd6a34-531a-433c-b50c-1c21f5db6493","Eucalyptus populnea",336.0,651.0
"1cefe3b0-022c-4e0a-b0a5-9427bad2ed72","Eucalyptus populnea",334.0,665.0
"27192891-0e26-482f-b799-0f4587a9a562","Eucalyptus populnea",332.0,694.0
"38cc0b4d-1bc9-46b6-a681-4a25e1d92082","Eucalyptus populnea",335.0,644.0
"76dd9c75-dc73-4822-a6ef-785e9e743724","Eucalyptus populnea",330.0,703.0
"55d86160-dda6-468a-aecd-ee228a648d6e","Eucalyptus populnea",332.0,680.0
"05bb0b9a-c12a-40e2-93c6-ed3488b8415e","Eucalyptus populnea",330.0,699.0
"068bd36f-1ed2-4ba3-a44d-c55b6915309d","Eucalyptus populnea",336.0,651.0
"44f39418-4b01-4679-9857-f2868dd0f4b1","Eucalyptus populnea",333.0,685.0
"2f66793b-078f-4cb0-8c83-10828527586f","Eucalyptus populnea",332.0,697.0
"a65d77c3-8b49-4812-a965-2d3314a8525d","Eucalyptus populnea",331.0,694.0
"c47e714c-217b-415f-a30a-01b418c75f57","Eucalyptus populnea",322.0,435.0
"4894d93b-e1d9-441c-8e37-e6ede1589dc1","Eucalyptus populnea",317.0,466.0
"d2bf2714-3e87-4641-a587-ecf8280aefce","Eucalyptus populnea",323.0,431.0
"b5c6d807-23b2-4fe0-b5c6-bbba59109c41","Eucalyptus populnea",323.0,424.0
